#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.248682E-04   0.152296E+08   0.152296E+08   0.202621E+08   0.202620E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152384E+08  -0.545853E+00   0.116186E+08   0.116186E+08   0.205565E-01
   0.253705E-04   0.152295E+08   0.152295E+08   0.202603E+08   0.202602E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545853E+00   0.116186E+08   0.116186E+08   0.209717E-01
   0.258831E-04   0.152295E+08   0.152295E+08   0.202584E+08   0.202583E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545853E+00   0.116186E+08   0.116186E+08   0.213952E-01
   0.264059E-04   0.152295E+08   0.152295E+08   0.202565E+08   0.202564E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545852E+00   0.116186E+08   0.116186E+08   0.218273E-01
   0.269394E-04   0.152295E+08   0.152295E+08   0.202544E+08   0.202543E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545852E+00   0.116186E+08   0.116186E+08   0.222681E-01
   0.274836E-04   0.152295E+08   0.152295E+08   0.202523E+08   0.202522E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545852E+00   0.116186E+08   0.116186E+08   0.227179E-01
   0.280388E-04   0.152295E+08   0.152295E+08   0.202501E+08   0.202500E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545852E+00   0.116186E+08   0.116186E+08   0.231767E-01
   0.286052E-04   0.152295E+08   0.152295E+08   0.202478E+08   0.202477E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545852E+00   0.116186E+08   0.116186E+08   0.236447E-01
   0.291831E-04   0.152295E+08   0.152295E+08   0.202455E+08   0.202454E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545851E+00   0.116186E+08   0.116186E+08   0.241222E-01
   0.297726E-04   0.152295E+08   0.152295E+08   0.202430E+08   0.202429E+08   0.000000E+00   0.152295E+08   0.152295E+08   0.152384E+08  -0.545851E+00   0.116186E+08   0.116186E+08   0.246093E-01
