#           k/h    P           
    0.26662E+00    0.76589E+02
    0.27201E+00    0.73531E+02
    0.27750E+00    0.70358E+02
    0.28311E+00    0.67211E+02
    0.28883E+00    0.64242E+02
    0.29466E+00    0.61556E+02
    0.30062E+00    0.59187E+02
    0.30669E+00    0.57091E+02
    0.31288E+00    0.55184E+02
    0.31920E+00    0.53360E+02
    0.32565E+00    0.51512E+02
    0.33223E+00    0.49574E+02
    0.33894E+00    0.47557E+02
    0.34579E+00    0.45524E+02
    0.35278E+00    0.43557E+02
    0.35990E+00    0.41726E+02
    0.36717E+00    0.40063E+02
    0.37459E+00    0.38548E+02
    0.38216E+00    0.37127E+02
    0.38988E+00    0.35741E+02
    0.39775E+00    0.34346E+02
    0.40579E+00    0.32938E+02
    0.41399E+00    0.31547E+02
    0.42235E+00    0.30212E+02
    0.43088E+00    0.28961E+02
    0.43959E+00    0.27801E+02
    0.44847E+00    0.26706E+02
    0.45753E+00    0.25645E+02
    0.46677E+00    0.24602E+02
    0.47620E+00    0.23574E+02
    0.48582E+00    0.22577E+02
    0.49563E+00    0.21630E+02
    0.50564E+00    0.20735E+02
    0.51586E+00    0.19885E+02
    0.52628E+00    0.19065E+02
    0.53691E+00    0.18268E+02
    0.54776E+00    0.17494E+02
    0.55882E+00    0.16752E+02
    0.57011E+00    0.16044E+02
    0.58163E+00    0.15369E+02
    0.59338E+00    0.14721E+02
    0.60537E+00    0.14095E+02
    0.61760E+00    0.13492E+02
    0.63007E+00    0.12914E+02
    0.64280E+00    0.12361E+02
    0.65579E+00    0.11832E+02
    0.66903E+00    0.11323E+02
    0.68255E+00    0.10834E+02
    0.69634E+00    0.10365E+02
    0.71040E+00    0.99156E+01
    0.72475E+00    0.94852E+01
    0.73940E+00    0.90724E+01
    0.75433E+00    0.86765E+01
    0.76957E+00    0.82969E+01
    0.78512E+00    0.79335E+01
    0.80098E+00    0.75852E+01
    0.81716E+00    0.72512E+01
    0.83367E+00    0.69314E+01
    0.85051E+00    0.66252E+01
    0.86769E+00    0.63317E+01
    0.88522E+00    0.60507E+01
    0.90310E+00    0.57817E+01
    0.92134E+00    0.55242E+01
    0.93996E+00    0.52776E+01
    0.95894E+00    0.50415E+01
    0.97832E+00    0.48157E+01
    0.99808E+00    0.45995E+01
    0.10182E+01    0.43927E+01
    0.10388E+01    0.41948E+01
    0.10598E+01    0.40054E+01
    0.10812E+01    0.38243E+01
    0.11030E+01    0.36510E+01
    0.11253E+01    0.34853E+01
    0.11481E+01    0.33269E+01
    0.11713E+01    0.31753E+01
    0.11949E+01    0.30305E+01
    0.12191E+01    0.28921E+01
    0.12437E+01    0.27597E+01
    0.12688E+01    0.26332E+01
    0.12944E+01    0.25123E+01
    0.13206E+01    0.23968E+01
    0.13473E+01    0.22864E+01
    0.13745E+01    0.21809E+01
    0.14023E+01    0.20801E+01
    0.14306E+01    0.19838E+01
    0.14595E+01    0.18919E+01
    0.14890E+01    0.18041E+01
    0.15190E+01    0.17202E+01
    0.15497E+01    0.16401E+01
    0.15810E+01    0.15636E+01
    0.16130E+01    0.14906E+01
    0.16456E+01    0.14209E+01
    0.16788E+01    0.13544E+01
    0.17127E+01    0.12909E+01
    0.17473E+01    0.12303E+01
    0.17826E+01    0.11724E+01
    0.18186E+01    0.11172E+01
    0.18554E+01    0.10645E+01
    0.18928E+01    0.10143E+01
    0.19311E+01    0.96631E+00
    0.19701E+01    0.92058E+00
    0.20099E+01    0.87694E+00
    0.20505E+01    0.83532E+00
    0.20919E+01    0.79563E+00
    0.21342E+01    0.75778E+00
    0.21773E+01    0.72168E+00
    0.22213E+01    0.68726E+00
    0.22661E+01    0.65444E+00
    0.23119E+01    0.62315E+00
    0.23586E+01    0.59333E+00
    0.24063E+01    0.56489E+00
    0.24549E+01    0.53779E+00
    0.25045E+01    0.51196E+00
    0.25551E+01    0.48734E+00
    0.26067E+01    0.46388E+00
    0.26593E+01    0.44152E+00
    0.27131E+01    0.42021E+00
    0.27679E+01    0.39992E+00
    0.28238E+01    0.38058E+00
    0.28808E+01    0.36215E+00
