#           k/h    P           
    0.78309E+01    0.26328E+00
    0.79891E+01    0.24996E+00
    0.81505E+01    0.23731E+00
    0.83151E+01    0.22529E+00
    0.84831E+01    0.21387E+00
    0.86545E+01    0.20302E+00
    0.88293E+01    0.19272E+00
    0.90077E+01    0.18293E+00
    0.91896E+01    0.17363E+00
    0.93753E+01    0.16480E+00
    0.95647E+01    0.15642E+00
    0.97579E+01    0.14845E+00
    0.99550E+01    0.14089E+00
    0.10156E+02    0.13371E+00
    0.10361E+02    0.12689E+00
    0.10571E+02    0.12041E+00
    0.10784E+02    0.11426E+00
    0.11002E+02    0.10842E+00
    0.11224E+02    0.10287E+00
    0.11451E+02    0.97610E-01
    0.11682E+02    0.92612E-01
    0.11918E+02    0.87868E-01
    0.12159E+02    0.83363E-01
    0.12405E+02    0.79088E-01
    0.12655E+02    0.75029E-01
    0.12911E+02    0.71176E-01
    0.13172E+02    0.67519E-01
    0.13438E+02    0.64048E-01
    0.13709E+02    0.60753E-01
    0.13986E+02    0.57626E-01
    0.14269E+02    0.54659E-01
    0.14557E+02    0.51843E-01
    0.14851E+02    0.49170E-01
    0.15151E+02    0.46634E-01
    0.15457E+02    0.44227E-01
    0.15769E+02    0.41943E-01
    0.16088E+02    0.39776E-01
    0.16413E+02    0.37720E-01
    0.16745E+02    0.35769E-01
    0.17083E+02    0.33918E-01
    0.17428E+02    0.32162E-01
    0.17780E+02    0.30496E-01
    0.18139E+02    0.28916E-01
    0.18506E+02    0.27416E-01
    0.18880E+02    0.25994E-01
    0.19261E+02    0.24645E-01
    0.19650E+02    0.23365E-01
    0.20047E+02    0.22151E-01
    0.20452E+02    0.21000E-01
    0.20865E+02    0.19907E-01
    0.21287E+02    0.18872E-01
    0.21717E+02    0.17889E-01
    0.22155E+02    0.16957E-01
    0.22603E+02    0.16074E-01
    0.23059E+02    0.15236E-01
    0.23525E+02    0.14441E-01
    0.24001E+02    0.13687E-01
    0.24485E+02    0.12973E-01
    0.24980E+02    0.12295E-01
    0.25485E+02    0.11653E-01
    0.26000E+02    0.11043E-01
    0.26525E+02    0.10466E-01
    0.27061E+02    0.99179E-02
    0.27607E+02    0.93987E-02
    0.28165E+02    0.89064E-02
    0.28734E+02    0.84396E-02
    0.29314E+02    0.79971E-02
    0.29907E+02    0.75776E-02
    0.30511E+02    0.71800E-02
    0.31127E+02    0.68030E-02
    0.31756E+02    0.64457E-02
    0.32397E+02    0.61070E-02
    0.33052E+02    0.57859E-02
    0.33720E+02    0.54816E-02
    0.34401E+02    0.51932E-02
    0.35096E+02    0.49198E-02
    0.35805E+02    0.46607E-02
    0.36528E+02    0.44151E-02
    0.37266E+02    0.41824E-02
    0.38019E+02    0.39618E-02
    0.38787E+02    0.37528E-02
    0.39570E+02    0.35547E-02
    0.40370E+02    0.33670E-02
    0.41185E+02    0.31891E-02
    0.42017E+02    0.30206E-02
    0.42866E+02    0.28609E-02
    0.43732E+02    0.27095E-02
    0.44615E+02    0.25661E-02
    0.45517E+02    0.24303E-02
    0.46436E+02    0.23015E-02
    0.47374E+02    0.21796E-02
    0.48331E+02    0.20640E-02
    0.49308E+02    0.19545E-02
    0.50304E+02    0.18508E-02
    0.51320E+02    0.17525E-02
    0.52357E+02    0.16595E-02
    0.53414E+02    0.15713E-02
    0.54493E+02    0.14877E-02
    0.55594E+02    0.14086E-02
    0.56717E+02    0.13337E-02
    0.57863E+02    0.12627E-02
    0.59032E+02    0.11954E-02
    0.60224E+02    0.11317E-02
    0.61441E+02    0.10714E-02
    0.62682E+02    0.10142E-02
    0.63949E+02    0.96010E-03
    0.65240E+02    0.90884E-03
    0.66558E+02    0.86030E-03
    0.67903E+02    0.81432E-03
    0.69275E+02    0.77078E-03
    0.70674E+02    0.72955E-03
    0.72102E+02    0.69050E-03
    0.73558E+02    0.65352E-03
    0.75044E+02    0.61851E-03
    0.76560E+02    0.58535E-03
    0.78107E+02    0.55395E-03
    0.79685E+02    0.52423E-03
    0.81294E+02    0.49608E-03
    0.82937E+02    0.46943E-03
    0.84612E+02    0.44419E-03
    0.86321E+02    0.42030E-03
    0.88065E+02    0.39768E-03
    0.89844E+02    0.37627E-03
    0.91659E+02    0.35599E-03
    0.93511E+02    0.33680E-03
    0.95400E+02    0.31863E-03
    0.97327E+02    0.30143E-03
    0.99293E+02    0.28515E-03
    0.10130E+03    0.26974E-03
    0.10335E+03    0.25515E-03
    0.10543E+03    0.24134E-03
    0.10756E+03    0.22827E-03
    0.10974E+03    0.21589E-03
    0.11195E+03    0.20418E-03
    0.11421E+03    0.19310E-03
    0.11652E+03    0.18261E-03
    0.11888E+03    0.17268E-03
    0.12128E+03    0.16329E-03
    0.12373E+03    0.15440E-03
    0.12623E+03    0.14599E-03
    0.12878E+03    0.13802E-03
    0.13138E+03    0.13049E-03
    0.13403E+03    0.12336E-03
    0.13674E+03    0.11662E-03
    0.13950E+03    0.11023E-03
    0.14232E+03    0.10419E-03
